bedrooms,bathrooms,area,tax_value,year_built,taxamount,fips,sale_date
3.0,2.0,1316.0,205123.0,1923.0,2627.48,6037.0,2017-07-21
3.0,2.0,1458.0,136104.0,1970.0,2319.9,6037.0,2017-06-23
2.0,1.0,1421.0,35606.0,1911.0,543.69,6037.0,2017-06-30
4.0,3.0,2541.0,880456.0,2003.0,9819.72,6059.0,2017-06-01
3.0,2.0,1491.0,107110.0,1955.0,1399.27,6037.0,2017-08-23
3.0,2.0,1650.0,614000.0,1949.0,7673.19,6037.0,2017-06-01
2.0,1.0,693.0,274237.0,1921.0,3267.47,6037.0,2017-06-29
4.0,2.0,1655.0,164269.0,1955.0,2169.62,6037.0,2017-08-23
0.0,0.0,1378.0,168828.0,,2135.39,6037.0,2017-06-16
3.0,2.0,1331.0,224906.0,1954.0,4086.17,6037.0,2017-07-18
3.0,2.0,1440.0,286062.0,1938.0,6093.88,6037.0,2017-07-20
4.0,1.0,2427.0,519963.0,1912.0,6444.87,6037.0,2017-07-14
3.0,2.0,1346.0,465102.0,1959.0,5627.16,6037.0,2017-07-27
3.0,2.0,1280.0,899750.0,1950.0,10783.39,6037.0,2017-08-29
3.0,2.0,1668.0,196483.0,1976.0,2376.34,6059.0,2017-05-19
3.0,2.5,1653.0,605000.0,1992.0,6185.28,6059.0,2017-05-01
3.0,1.0,879.0,141875.0,1953.0,2015.78,6059.0,2017-05-18
3.0,2.0,1108.0,486866.0,1953.0,5990.5,6037.0,2017-05-17
3.0,2.0,1947.0,388478.0,1923.0,4784.07,6037.0,2017-05-11
3.0,1.0,1004.0,272154.0,1922.0,3307.31,6037.0,2017-08-21
4.0,3.0,3416.0,344328.0,1973.0,4136.13,6037.0,2017-07-11
2.0,1.0,1061.0,31839.0,1923.0,412.48,6037.0,2017-06-02
3.0,2.0,1306.0,203480.0,1963.0,2543.86,6059.0,2017-07-13
3.0,2.0,1632.0,499402.0,1970.0,5921.67,6037.0,2017-06-29
3.0,3.0,2768.0,151340.0,1951.0,2373.63,6037.0,2017-05-31
3.0,3.0,2392.0,845708.0,1963.0,9310.38,6037.0,2017-06-30
3.0,2.0,1088.0,130679.0,1955.0,2228.31,6037.0,2017-06-14
3.0,2.0,1157.0,85692.0,1954.0,1147.37,6037.0,2017-08-25
3.0,2.0,1386.0,52560.0,1957.0,777.51,6037.0,2017-07-31
2.0,1.0,728.0,75227.0,1921.0,1471.8,6037.0,2017-08-01
3.0,2.0,1191.0,164685.0,1935.0,2169.02,6037.0,2017-05-22
3.0,2.0,1358.0,168626.0,1991.0,3107.95,6037.0,2017-06-01
5.0,3.0,4048.0,2673077.0,1922.0,32411.31,6037.0,2017-08-22
4.0,3.0,2291.0,397616.0,1980.0,5284.09,6037.0,2017-06-09
4.0,2.0,2115.0,115306.0,1960.0,1613.84,6037.0,2017-07-25
4.0,2.0,1570.0,373282.0,1960.0,4619.79,6037.0,2017-07-28
2.0,1.0,918.0,374368.0,1908.0,4406.57,6037.0,2017-08-25
3.0,2.0,1050.0,259334.0,1960.0,3345.78,6037.0,2017-05-25
3.0,2.0,1373.0,62048.0,1957.0,703.0,6111.0,2017-07-13
4.0,2.0,1485.0,63338.0,1959.0,974.9,6059.0,2017-06-30
3.0,1.0,1716.0,44455.0,1928.0,690.81,6037.0,2017-08-22
5.0,3.0,3048.0,1150000.0,1967.0,12741.62,6037.0,2017-07-25
3.0,2.0,2092.0,217006.0,1956.0,3221.12,6037.0,2017-08-30
2.0,1.0,1184.0,46336.0,1927.0,603.88,6037.0,2017-08-23
3.0,2.0,1569.0,73054.0,1954.0,1206.4,6037.0,2017-06-15
2.0,2.0,1069.0,44826.0,1938.0,997.56,6037.0,2017-07-28
4.0,2.0,1382.0,185483.0,1953.0,2414.53,6037.0,2017-08-16
3.0,2.0,1255.0,188730.0,1955.0,2586.54,6059.0,2017-07-10
3.0,2.0,1285.0,82374.0,1954.0,1315.15,6037.0,2017-05-31
